통계표,한국은행 기준금리(%),한국은행 어조분석,"GDP(계절조정, 명목, 분기, 단위:10억원)","기대인플레이션율(전국, 월,%)",변동
Jun-05,3.25 ,0.717953,237019.1,3.50 ,0
Jul-05,3.25 ,0.7820593,241872.5,3.30 ,0
Aug-05,3.25 ,0.7965705,241872.5,3.20 ,0
Sep-05,3.25 ,0.7424292,241872.5,2.90 ,0
Oct-05,3.50 ,0.8470372,245316.7,3.10 ,1
Nov-05,3.50 ,0.8543828,245316.7,3.10 ,0
Dec-05,3.75 ,0.847114,245316.7,3.10 ,1
Jan-06,3.75 ,0.699325,246614.4,3.00 ,0
Feb-06,4.00 ,0.8682075,246614.4,3.00 ,1
Mar-06,4.00 ,0.7216118,246614.4,3.00 ,0
Apr-06,4.00 ,0.8323097,248152.7,2.80 ,0
May-06,4.00 ,0.8051526,248152.7,2.80 ,0
Jun-06,4.25 ,0.8676466,248152.7,2.80 ,1
Jul-06,4.25 ,0.844387,253912.6,3.00 ,0
Aug-06,4.50 ,0.771027,253912.6,3.00 ,1
Sep-06,4.50 ,0.7649204,253912.6,3.00 ,0
Oct-06,4.50 ,0.7240332,256921.7,3.00 ,0
Nov-06,4.50 ,0.7095215,256921.7,2.90 ,0
Dec-06,4.50 ,0.7666807,256921.7,3.10 ,0
Jan-07,4.50 ,0.7849595,263441.3,3.00 ,0
Feb-07,4.50 ,0.7836897,263441.3,2.90 ,0
Mar-07,4.50 ,0.6799671,263441.3,3.00 ,0
Apr-07,4.50 ,0.782453,269569.3,2.90 ,0
May-07,4.50 ,0.8032157,269569.3,2.90 ,0
Jun-07,4.50 ,0.8209776,269569.3,2.80 ,0
Jul-07,4.75 ,0.7873217,274329.9,2.90 ,1
Aug-07,5.00 ,0.8599573,274329.9,2.80 ,1
Sep-07,5.00 ,0.7621026,274329.9,2.80 ,0
Oct-07,5.00 ,0.7955865,282319.7,2.90 ,0
Nov-07,5.00 ,0.7083489,282319.7,3.00 ,0
Dec-07,5.00 ,0.8233951,282319.7,3.00 ,0
Jan-08,5.00 ,0.7295374,283234.3,3.20 ,0
Feb-08,5.00 ,0.7793006,283234.3,3.30 ,0
Mar-08,5.00 ,0.6917863,283234.3,3.50 ,0
Apr-08,5.00 ,0.7574769,290039.1,3.40 ,0
May-08,5.00 ,0.7482254,290039.1,3.80 ,0
Jun-08,5.00 ,0.7741444,290039.1,4.10 ,0
Jul-08,5.00 ,0.8214044,293765.3,4.40 ,0
Aug-08,5.25 ,0.8223071,293765.3,4.20 ,1
Sep-08,5.25 ,0.7087614,293765.3,4.50 ,0
Oct-08,4.25 ,0.687362,287177.8,4.60 ,-1
Nov-08,4.00 ,0.6686627,287177.8,4.50 ,-1
